Targets,Scenarios,Type of investment,Investment category,Year,Amount
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 20,4.46
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 30,1.72
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 1,1338.16
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 2,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 3,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 4,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 5,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 6,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 7,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 8,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 9,1646.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 10,38979.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 20,38979.27
Target 1,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,Year 30,38979.27
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 1,1338.16
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 2,1496.61
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 3,1360.55
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 4,1236.87
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 5,1124.42
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 6,1022.2
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 7,929.28
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 8,844.8
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 9,768
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 10,16531.02
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 20,2457.23
Target 1,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,Year 30,2233.85
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 1,0.76
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 2,0.85
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 3,0.77
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 4,0.7
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 5,0.64
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 6,0.58
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 7,0.53
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 8,0.48
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 9,0.44
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 10,9.41
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 20,1.4
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,Year 30,1.27
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 1,823.68
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 2,748.8
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 3,680.72
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 4,618.84
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 5,562.58
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 6,511.44
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 7,464.94
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 8,422.68
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 9,384.25
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 10,349.32
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 20,134.68
Target 1,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 30,51.92
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 1,4641.62
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 2,4219.66
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 3,3836.05
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 4,3487.32
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 5,3170.29
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 6,2882.08
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 7,2620.07
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 8,2381.89
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 9,2165.35
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 10,1968.5
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 20,758.94
Target 1,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 30,292.61
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,BAU,0
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 1,3817.94
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 2,3470.86
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 3,3155.33
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 4,2868.48
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 5,2607.71
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 6,2370.64
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 7,2155.13
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 8,1959.21
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 9,1781.1
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 10,1619.18
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 20,624.26
Target 1,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 30,240.68
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,BAU,0
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 1,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 2,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 3,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 4,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 5,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 6,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 7,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 8,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 9,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 10,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 20,5.64
Target 1,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 30,5.64
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 1,1415.03
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 2,957.64
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 3,870.58
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 4,791.44
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 5,719.49
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 6,654.08
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 7,594.62
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 8,540.56
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 9,491.42
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 10,446.75
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 20,172.24
Target 1,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 30,66.41
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 1,2699.68
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 2,2454.25
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 3,2231.14
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 4,2028.31
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 5,1843.91
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 6,1676.29
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 7,1523.9
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 8,1385.36
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 9,1259.42
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 10,20766.51
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 20,8006.39
Target 1,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 30,3086.81
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,BAU,0
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 1,1284.65
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 2,1496.61
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 3,1360.55
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 4,1236.87
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 5,1124.42
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 6,1022.2
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 7,929.28
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 8,844.8
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 9,768
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 10,20319.76
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 20,7834.15
Target 1,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 30,3020.4
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,BAU,0
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 1,1.91
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 2,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 3,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 4,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 5,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 6,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 7,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 8,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 9,2.56
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 10,46.48
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 20,46.48
Target 1,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 30,46.48
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 1,1361.52
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 2,957.64
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 3,870.58
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 4,791.44
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 5,719.49
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 6,654.08
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 7,594.62
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 8,540.56
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 9,491.42
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 10,446.75
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 20,172.24
Target 1,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,Year 30,66.41
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 1,2699.68
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 2,2454.25
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 3,2231.14
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 4,2028.31
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 5,1843.91
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 6,1676.29
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 7,1523.9
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 8,1385.36
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 9,1259.42
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 10,16977.76
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 20,6545.66
Target 1,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,Year 30,2523.64
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,BAU,0
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 1,1338.16
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 2,1496.61
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 3,1360.55
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 4,1236.87
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 5,1124.42
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 6,1022.2
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 7,929.28
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 8,844.8
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 9,768
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 10,16531.02
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 20,6373.42
Target 1,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,Year 30,2457.23
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,BAU,0
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 1,1.98
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 2,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 3,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 4,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 5,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 6,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 7,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 8,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 9,2.56
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 10,38
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 20,38
Target 1,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,Year 30,38
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,0
Target 2,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,BAU,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 1,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 2,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 3,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 4,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 5,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 6,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 7,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 8,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 9,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 10,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 20,0
Target 2,BAU,Costs for training and capacity building,Institutional costs,Year 30,0
Target 2,BAU,Total institutional costs,Institutional costs,BAU,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 1,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 2,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 3,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 4,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 5,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 6,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 7,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 8,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 9,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 10,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 20,0
Target 2,BAU,Total institutional costs,Institutional costs,Year 30,0
Target 2,BAU,Labor costs,Individual farmer costs,BAU,0
Target 2,BAU,Labor costs,Individual farmer costs,Year 1,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 2,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 3,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 4,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 5,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 6,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 7,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 8,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 9,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 10,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 20,189.19
Target 2,BAU,Labor costs,Individual farmer costs,Year 30,189.19
Target 2,BAU,Input costs,Individual farmer costs,BAU,0
Target 2,BAU,Input costs,Individual farmer costs,Year 1,510
Target 2,BAU,Input costs,Individual farmer costs,Year 2,510
Target 2,BAU,Input costs,Individual farmer costs,Year 3,510
Target 2,BAU,Input costs,Individual farmer costs,Year 4,510
Target 2,BAU,Input costs,Individual farmer costs,Year 5,510
Target 2,BAU,Input costs,Individual farmer costs,Year 6,510
Target 2,BAU,Input costs,Individual farmer costs,Year 7,510
Target 2,BAU,Input costs,Individual farmer costs,Year 8,510
Target 2,BAU,Input costs,Individual farmer costs,Year 9,510
Target 2,BAU,Input costs,Individual farmer costs,Year 10,510
Target 2,BAU,Input costs,Individual farmer costs,Year 20,510
Target 2,BAU,Input costs,Individual farmer costs,Year 30,510
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,BAU,0
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 1,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 2,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 3,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 4,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 5,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 6,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 7,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 8,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 9,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 10,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 20,699.19
Target 2,BAU,Total individual costs to farmer,Individual farmer costs,Year 30,699.19
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,14334.59
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,1433.46
Target 2,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,1433.46
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,BAU,0
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 1,26486.49
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 2,2648.65
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 3,2648.65
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 4,2648.65
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 5,2648.65
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 6,2648.65
Target 2,Scenario 2,Costs for training and capacity building,Institutional costs,Year 7,2648.65
