Targets,Scenarios,Type of investment,Investment category,BAU,Year 1,Year 2 ,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
Target G3,BAU,"Gross value		",Individual farmer costs,$0.00 ,"$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 ","$6,901.97 "
Target G3,Scenario 2,Gross value of annual crops of USD,Individual farmer costs,$0.00 ,"$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 "
Target G3,Scenario 2,Gross value of perrenial crops of USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target G3,Scenario 2,Gross value of tree species USD,Individual farmer costs,$0.00 ,$0.00 ,$347.88 ,$347.88 ,$347.88 ,$347.88 ,$347.88 ,$347.88 ,$347.88 ,$347.88 ,$408.00 
Target G3,Scenario 2,"Gross value		",Individual farmer costs,$0.00 ,"$6,900.56 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,248.44 ","$7,308.56 "
Target G3,Scenario 3,Gross value of annual crops of USD,Individual farmer costs,$0.00 ,"$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 "
Target G3,Scenario 3,Gross value of perrenial crops of USD,Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target G3,Scenario 3,Gross value of tree species (USD),Individual farmer costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target G3,Scenario 3,"Gross value		",Individual farmer costs,$0.00 ,"$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 ","$6,900.56 "
Target G3,BAU,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 ","$3,598.66 "
Target G3,BAU,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,598.66 ","$3,295.48 ","$3,017.84 ","$2,763.59 ","$2,530.76 ","$2,317.55 ","$2,122.29 ","$1,943.49 ","$1,779.76 ","$1,629.81 "
Target G3,BAU,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$2.23 ,$2.05 ,$1.87 ,$1.72 ,$1.57 ,$1.44 ,$1.32 ,$1.21 ,$1.11 ,$1.01 
Target G3,BAU,Benefit cost ratio,Individual farmer costs,$0.00 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 ,$2.09 
Target G3,Scenario 2,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,283.02 ","$3,572.92 ","$3,543.93 ","$3,526.90 ","$3,543.93 ","$3,543.93 ","$3,507.45 ","$3,543.93 ","$3,543.93 ","$3,604.05 "
Target G3,Scenario 2,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,283.02 ","$3,271.90 ","$2,971.94 ","$2,708.48 ","$2,492.26 ","$2,282.29 ","$2,068.50 ","$1,913.93 ","$1,752.68 ","$1,632.25 "
Target G3,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$2.04 ,$2.03 ,$1.85 ,$1.68 ,$1.55 ,$1.42 ,$1.28 ,$1.19 ,$1.09 ,$1.01 
Target G3,Scenario 2,Benefit cost ratio,Individual farmer costs,$0.00 ,$1.91 ,$1.97 ,$1.96 ,$1.95 ,$1.96 ,$1.96 ,$1.94 ,$1.96 ,$1.96 ,$1.97 
Target G3,Scenario 3,Net values to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,114.51 ","$3,114.51 ","$3,033.98 ","$3,033.98 ","$3,033.98 ","$3,033.98 ","$3,033.98 ","$3,033.98 ","$3,033.98 ","$3,033.98 "
Target G3,Scenario 3,Net Present Values (NPV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$3,114.51 ","$2,852.12 ","$2,544.30 ","$2,329.94 ","$2,133.65 ","$1,953.89 ","$1,789.28 ","$1,638.53 ","$1,500.49 ","$1,374.07 "
Target G3,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha,Individual farmer costs,$0.00 ,$1.93 ,$1.77 ,$1.58 ,$1.45 ,$1.32 ,$1.21 ,$1.11 ,$1.02 ,$0.93 ,$0.85 
Target G3,Scenario 3,Benefit cost ratio,Individual farmer costs,$0.00 ,$1.82 ,$1.82 ,$1.78 ,$1.78 ,$1.78 ,$1.78 ,$1.78 ,$1.78 ,$1.78 ,$1.78 
Target G3,BAU,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,058.82 ",$969.61 ,$887.92 ,$813.12 ,$744.61 ,$681.88 ,$624.43 ,$571.82 ,$523.65 ,$479.53 
Target G3,BAU,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$6,901.97 ","$6,320.48 ","$5,787.99 ","$5,300.36 ","$4,853.81 ","$4,444.88 ","$4,070.40 ","$3,727.47 ","$3,413.44 ","$3,125.86 "
Target G3,BAU,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$5,843.15 ","$5,350.87 ","$4,900.06 ","$4,487.24 ","$4,109.19 ","$3,763.00 ","$3,445.97 ","$3,155.65 ","$2,889.79 ","$2,646.33 "
Target G3,BAU,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
Target G3,Scenario 2,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,240.07 ","$1,188.69 ","$1,112.86 ","$1,032.17 ",$933.24 ,$854.62 ,$804.13 ,$716.68 ,$656.30 ,$601.01 
Target G3,Scenario 2,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$6,900.56 ","$6,637.76 ","$6,078.54 ","$5,566.43 ","$5,097.46 ","$4,668.00 ","$4,274.73 ","$3,914.59 ","$3,584.79 ","$3,310.00 "
Target G3,Scenario 2,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$5,660.49 ","$5,449.07 ","$4,965.68 ","$4,534.25 ","$4,164.22 ","$3,813.39 ","$3,470.60 ","$3,197.90 ","$2,928.48 ","$2,708.99 "
Target G3,Scenario 2,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,5.56,5.58,5.46,5.39,5.46,5.46,5.32,5.46,5.46,5.51
Target G3,Scenario 3,Net Present Costs (NPC) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$1,279.58 ","$1,171.78 ","$1,140.59 ","$1,044.49 ",$956.50 ,$875.91 ,$802.12 ,$734.54 ,$672.66 ,$615.98 
Target G3,Scenario 3,Net Present Gross Values (NPGV) to farmers in USD/Ha,Individual farmer costs,$0.00 ,"$6,900.56 ","$6,319.19 ","$5,786.81 ","$5,299.27 ","$4,852.82 ","$4,443.97 ","$4,069.57 ","$3,726.71 ","$3,412.74 ","$3,125.22 "
Target G3,Scenario 3,Net Present Values (NPV) in USD/person/day/Ha _ 1,Individual farmer costs,$0.00 ,"$5,620.98 ","$5,147.42 ","$4,646.22 ","$4,254.78 ","$3,896.32 ","$3,568.06 ","$3,267.45 ","$2,992.17 ","$2,740.08 ","$2,509.24 "
Target G3,Scenario 3,Benefit-Cost-Ratio (BCR),Individual farmer costs,$0.00 ,5.39,5.39,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07
